КРКА-Рус ООО; КРКА Рус
ПРО.МЕД.ЦС Прага а.о./Маклеодз Фармасьютикалз Лтд; ['ПРО.МЕД.ЦС Прага а.о.', 'Маклеодз Фармасьютикалз Лтд']
Олайнфарм АО; Олайнфарм
Гедеон Рихтер ОАО/пр.Гедеон Рихтер-РУС АО; ['Гедеон Рихтер', 'Гедеон Рихтер-РУС']
Новартис Фарма Штейн АГ/Новартис Фармасьютика С.А.; ['Новартис Фарма Штейн АГ', 'Новартис Фармасьютика С.А.']
Джонсон и Джонсон ООО/пр.Янссен-Силаг С.А.; ['Джонсон и Джонсон', 'Янссен-Силаг С.А.']
Гедеон Рихтер ОАО/пр.Гедеон Рихтер-РУС ЗАО; ['Гедеон Рихтер', 'Гедеон Рихтер-РУС']
Восток ООО; Восток
Озон ООО/пр.Озон Фарм ООО; ['Озон', 'Озон Фарм']
Бристол-Майерс Сквибб/УПСА САС; ['Бристол-Майерс Сквибб', 'УПСА САС']
Авексима Сибирь ООО; Авексима Сибирь
Берингер Ингельхайм Интернешнл ГмбХ/пр.Берингер Ингельхайм Фарма ГмбХ и Ко.КГ/Берингер Ингельхайм Эллас А.Е.; ['Берингер Ингельхайм Интернешнл ГмбХ', 'Берингер Ингельхайм Фарма ГмбХ и Ко.КГ', 'Берингер Ингельхайм Эллас А.Е.']
Фармстандарт-Томскхимфарм ОАО/пр.Майлан Лэбораториз САС; ['Фармстандарт-Томскхимфарм', 'Майлан Лэбораториз САС']
КРКА, д.д., Ново место/пр.Зигфрид Мальта Лтд; ['КРКА, д.д., Ново место', 'Зигфрид Мальта Лтд']
Лаборатории Роза-Фитофарма/пр.Лаборатории Галеник Вернен; ['Лаборатории Роза-Фитофарма', 'Лаборатории Галеник Вернен']
Грюненталь ГмбХ/Тейкоку Сейяку Ко. Лтд.; ['Грюненталь ГмбХ', 'Тейкоку Сейяку Ко. Лтд.']
Астеллас Фарма Юроп Б.В./пр.Р-Фарм АО/уп.Ортат АО/ЗиО-Здоровье ЗАО; ['Астеллас Фарма Юроп Б.В.', 'Р-Фарм', '.Ортат', 'ЗиО-Здоровье']
Софартекс; Софартекс
Фармстандарт (Октябрь г.СПб); Фармстандарт Октябрь г СПб
Эбботт Лэбораториз ГмбХ/Майлан ЕПД Г.К.; ['Эбботт Лэбораториз ГмбХ', 'Майлан ЕПД Г.К.']
Флора Кавказа ОАО; Флора Кавказа
Рафарма АО; Рафарма
Джонсон и Джонсон ООО/пр.Каталент Ю.К.Свиндон/уп.Янссен-Силаг; ['Джонсон и Джонсон', 'Каталент Ю.К.Свиндон', '.Янссен-Силаг']
ФГБУ НМИЦ кардиологии Минздрава; ФГБУ НМИЦ кардиологии Минздрава
Эбботт Хелскеа Продактс Б.В./пр.Эбботт Биолоджикалз Б.В./уп.Верофарм АО; ['Эбботт Хелскеа Продактс Б.В.', 'Эбботт Биолоджикалз Б.В.', '.Верофарм']
Сандоз Фармасьютикалс д.д./пр.Новартис Фарма Штейн АГ/уп.Новартис Фарма С.п.А.; ['Сандоз Фармасьютикалс д.д.', 'Новартис Фарма Штейн АГ', '.Новартис Фарма С.п.А.']
ВЕСТ ООО/пр.Самарамедпром ОАО; ['ВЕСТ', 'Самарамедпром']
Медана Фарма Акционерное Общество; Медана Фарма Акционерное Общество
Пфайзер Инк/пр.Фамар Орлеан; ['Пфайзер Инк', 'Фамар Орлеан']
Нижфарм АО/пр.Московский эндокринный завод ФГУП; ['Нижфарм', 'Московский эндокринный завод ФГУП']
АВД.фарма ГмбХ и Ко.КГ/пр.Плива Хрватска д.о.о.; ['АВД.фарма ГмбХ и Ко.КГ', 'Плива Хрватска д.о.о.']
Аджио Фармацевтикалз Лтд; Аджио Фармацевтикалз Лтд
Нижфарм ОАО/пр.Хемофарм ООО (Россия); ['Нижфарм', 'Хемофарм  (Россия)']
Реплек Фарм ООО Скопье/уп.Сотекс ФармФирма ЗАО; ['Реплек Фарм  Скопье', '.Сотекс ФармФирма']
Ферринг Арцнаймиттель ГмбХ/Ферринг Фармасьютикалз (Китай) Ко., Лтд; ['Ферринг Арцнаймиттель ГмбХ', 'Ферринг Фармасьютикалз (Китай) Ко., Лтд']
Хималайя Драг Ко; Хималайя Драг Ко
Эллара ООО; Эллара
Ядран Галенский Лабораторий АО; Ядран Галенский Лабораторий
Мерк ООО/Нанолек ООО/Мерк Хелскеа КГаА; ['Мерк', 'Нанолек', 'Мерк Хелскеа КГаА']
ГСК Консьюмер Хелс Инк.; ГСК Консьюмер Хелс Инк
Новартис Консьюмер Хелс С.А./пр.Фамар; ['Новартис Консьюмер Хелс С.А.', 'Фамар']
Новартис Саглик Гида ве Тарим Урунлери Сан. Ве Тик. А.С; Новартис Саглик Гида ве Тарим Урунлери Сан Ве Тик А С
Гедеон Рихтер ОАО/пр.Гедеон Рихтер Польша ООО; ['Гедеон Рихтер', 'Гедеон Рихтер Польша']
Гермес Фарма ГмбХ; Гермес Фарма ГмбХ
Бакорен ООО; Бакорен
Патеон Софтджелс Б.В./Рекитт Бенкизер Хелскэр Интернешнл Лтд; ['Патеон Софтджелс Б.В.', 'Рекитт Бенкизер Хелскэр Интернешнл Лтд']
Фамар Франция; Фамар Франция
Санофи Россия АО/пр.Институт де Ангели С.р.Л.; ['Санофи Россия', 'Институт де Ангели С.р.Л.']
Меркле ГмбХ; Меркле ГмбХ
ФармаРег ООО/пр.Набикасим Индастриз Пвт.Лтд.; ['ФармаРег', 'Набикасим Индастриз Пвт.Лтд.']
Биотики МНПК(г.Москва); Биотики МНПК г Москва
Аван ООО/Партнер АО; ['Аван', 'Партнер']
Аван ООО/ПроБиоФарм ООО; ['Аван', 'ПроБиоФарм']
Алиум АО (Россия); Алиум  Россия
Джонсон и Джонсон ООО/пр.Каталент Франс Бейнхейм С.А FR; ['Джонсон и Джонсон', 'Каталент Франс Бейнхейм С.А FR']
Биосинтез ОАО/ПАО; ['Биосинтез', '']
Катунь-Олеум ООО; Катунь Олеум
Бофур Ипсен Индастри; Бофур Ипсен Индастри
Обнинская ХФК ЗАО; Обнинская ХФК
Медминипром; Медминипром
Пик-Фарма ПРО ООО; Пик Фарма ПРО
Алкалоид АД Скопье/Алкалоид АО; ['Алкалоид АД Скопье', 'Алкалоид']
Санофи Россия АО/Дельфарм Реймс; ['Санофи Россия', 'Дельфарм Реймс']
Микроген НПО ФГУП; Микроген  ФГУП
Виал ООО/пр.Цзевим Фармасьютикал (Шандунь) Ко.Лтд; ['Виал', 'Цзевим Фармасьютикал (Шандунь) Ко.Лтд']
Антивирал НПО ЗАО/Фармпроект АО; ['Антивирал', 'Фармпроект']
Новартис Консьюмер Хелс инк.; Новартис Консьюмер Хелс инк
Др.Каде фармацевтическая фабрикаГмбХ; Др Каде фармацевтическая фабрикаГмбХ
Медокеми Лтд; Медокеми Лтд
Санкт-Петербургская ФФ ОАО (ГаленоФарм); Санкт Петербургская ФФ  ГаленоФарм
Ереванская ХФФ; Ереванская ХФФ
Лаборатории Сервье/пр.Лаборатории Сервье Индастри; ['Лаборатории Сервье', 'Лаборатории Сервье Индастри']
Замбон С.П.А.; Замбон С П А
Замбон Свитцерланд Лтд; Замбон Свитцерланд Лтд
Пфайзер Инк/пр.Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ; ['Пфайзер Инк', 'Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ']
Институто Лузофармако д'Италия С.п.А./пр.А. Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.л.; ["Институто Лузофармако д'Италия С.п.А.", 'А. Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.л.']
Ферринг Интернешнл Сентер СА; Ферринг Интернешнл Сентер СА
Алвоген Фарма Трейдинг Юроп ЕООД/пр.уп Эйсика Фармасьютикалз ГмбХ; ['Алвоген Фарма Трейдинг Юроп ЕООД', 'Эйсика Фармасьютикалз ГмбХ']
Зен Фарма (П) Лтд/Вокхард Лимитед; ['Зен Фарма (П) Лтд', 'Вокхард Лимитед']
Бристол-Майерс Сквибб С.р.Л./Ай Си Эн Польфа Жешув АО; ['Бристол-Майерс Сквибб С.р.Л.', 'Ай Си Эн Польфа Жешув']
Эгис ФЗ ЗАО/уп.Сердикс ООО; ['Эгис ФЗ', '.Сердикс']
Институто Лузофармако/пр.Берлин-Хеми АГ; ['Институто Лузофармако', 'Берлин-Хеми АГ']
Ханми Фарм. Ко., Лтд; Ханми Фарм Ко Лтд
Органика АО/ОАО; ['Органика', '']
Алвилс ООО/Озон ООО; ['Алвилс', 'Озон']
Сановель Фармако-индустриальная торговая компания; Сановель Фармако индустриальная торговая компания
С.К. Терапия С.А.; С К Терапия С А
Санофи-Авентис Груп АО/Хиноин ЗАО; ['Санофи-Авентис Гр', 'Хиноин']
ЮСБ Фарма ГмбХ/пр.Йенагексал Фарма ГмбХ; ['ЮСБ Фарма ГмбХ', 'Йенагексал Фарма ГмбХ']
Уорлд Медицин Лимитед/пр.Е.И.П.И.К.О.; ['Уорлд Медицин Лимитед', 'Е.И.П.И.К.О.']
Домпе С.п.А./пр.Институт де Ангели С.р.Л.; ['Домпе С.п.А.', 'Институт де Ангели С.р.Л.']
Альфасигма С.п.А.; Альфасигма С п А
Рекордати Ирландия Лтд/пр.Пьер Фабр Медикамент Продакшн/уп.Рекордати Хим и Фарм Индустрия; ['Рекордати Ирландия Лтд', 'Пьер Фабр Медикамент Продакшн', '.Рекордати Хим и Фарм Индустрия']
Технопарк-Центр; Технопарк Центр
Эбботт Продактс ГмбХ/пр.Патеон Софтджелс Б.В./уп.ГМПэк АпС; ['Эбботт Продактс ГмбХ', 'Патеон Софтджелс Б.В.', '.ГМПэк АпС']
Деко Компания ООО; Деко Компания
Фармцентр ВИЛАР ЗАО/АО; ['Фармцентр ВИЛАР', '']
Опытный завод ГНЦЛС ООО/пр.Здоровье ФК ООО; ['Опытный завод ГНЦЛС', 'Здоровье ФК']
Актавис Групп АО; Актавис Групп
Армавирская биофабрика ФКП; Армавирская биофабрика ФКП
Канонфарма Продакшн ЗАО/Тева Чешские предприятия с.р.о.; ['Канонфарма Продакшн', 'Тева Чешские предприятия с.р.о.']
Фармстандарт-Лексредства ОАО (Россия); Фармстандарт Лексредства  Россия
Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш./Санофи Илач Санайн ве Тиджарет А.Ш.; ['Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш.', 'Санофи Илач Санайн ве Тиджарет А.Ш.']
Биофарм; Биофарм
Лаборатории Сервье/Сервье Рус ООО; ['Лаборатории Сервье', 'Сервье Рус']
Русфик ООО/Внешторг Фарма ООО; ['Русфик', 'Внешторг Фарма']
Такеда Фармасьютикалс ООО/Такеда ГмбХ; ['Такеда Фармасьютикалс', 'Такеда ГмбХ']
Московский эндокринный завод ФГУП; Московский эндокринный завод ФГУП
Розлекс Фарм ООО; Розлекс Фарм
Рекордати Ирланд Лтд/пр.Рекордати химическая и фармацевтическая индустрия С.п.А.; ['Рекордати Ирланд Лтд', 'Рекордати химическая и фармацевтическая индустрия С.п.А.']
КРКА-Рус ООО/пр.Вальфарма С.П.А.Сан-Марино/уп.КРКА-Рус ООО; ['КРКА-Рус', 'Вальфарма С.П.А.Сан-Марино', '.КРКА-Рус']
Тева Фармацевтические Предприятия Лтд/пр.Клоке Фарма-Сервис ГмбХ/Тева Чешские Предприятия с.р.о.; ['Тева Фармацевтические Предприятия Лтд', 'Клоке Фарма-Сервис ГмбХ', 'Тева Чешские Предприятия с.р.о.']
Лаборатории Сервье/пр.Сердикс ООО/Сервье рус ООО; ['Лаборатории Сервье', 'Сердикс', 'Сервье рус']
Рекитт Бенкизер Хелскэр Интернешнл Лтд/пр.Фармасиерра Мануфэкчуринг С.Л.; ['Рекитт Бенкизер Хелскэр Интернешнл Лтд', 'Фармасиерра Мануфэкчуринг С.Л.']
ИП Карманов А.А. (Россия); ИП Карманов А А Россия
С.К. Терапия С.А./пр.Сан Фармасьютикал Индастриз Лтд; ['С.К. Терапия С.А.', 'Сан Фармасьютикал Индастриз Лтд']
Виал ООО/пр.Норт Чайна Фармасьютикал Групп Формьюлэйшн Ко.Лтд; ['Виал', 'Норт Чайна Фармасьютикал Грп Формьюлэйшн Ко.Лтд']
Лабораториос Менарини С.А.; Лабораториос Менарини С А
Лаборатории Сервье Индастри/Сервье рус ООО; ['Лаборатории Сервье Индастри', 'Сервье рус']
Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ/пр.Пфайзер Фармасьютикалз ЭлЭлСи/Пфайзер Инк; ['Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ', 'Пфайзер Фармасьютикалз ЭлЭлСи', 'Пфайзер Инк']
Натко Фарма Лтд; Натко Фарма Лтд
Олифен Корпорация ЗАО (г.Москва); Олифен Корпорация  г Москва
Санофи-Авентис Франс/Санофи-Авентис С.П.А./А.Наттерманн энд Сие. ГмбХ; ['Санофи-Авентис Франс', 'Санофи-Авентис С.П.А.', 'А.Наттерманн энд Сие. ГмбХ']
Мерк ООО/Нанолек ООО; ['Мерк', 'Нанолек']
Ивановская ФФ; Ивановская ФФ
ЮСБ Фарма ГмбХ/пр.Шварц Фарма Продукционс ГмбХ; ['ЮСБ Фарма ГмбХ', 'Шварц Фарма Продукционс ГмбХ']
ЮСБ Фарма ГмбХ/пр.Эйсика Фармасьютикалз ГмбХ; ['ЮСБ Фарма ГмбХ', 'Эйсика Фармасьютикалз ГмбХ']
Берлин-Фарма ЗАО/пр.Берлин-Хеми АГ/Менарини Групп; ['Берлин-Фарма', 'Берлин-Хеми АГ', 'Менарини Грп']
Витафарма фирма ЗАО; Витафарма фирма
Ланафарм ООО (г.Москва); Ланафарм  г Москва
Микроген НПО ФГУП (НПО Вирион г.Томск); Микроген  ФГУП  Вирион г Томск
Микроген НПО ФГУП (Пермское НПО Биомед); Микроген  ФГУП Пермское  Биомед
Русан Фарма Лтд; Русан Фарма Лтд
Эгис ФЗ ЗАО/пр.Актавис; ['Эгис ФЗ', 'Актавис']
Рекитт Бенкизер Хелскэр Великобритания Лимитед; Рекитт Бенкизер Хелскэр Великобритания Лимитед
Л. Молтени и К. дей Фрателли Алитти Сочиета ди Езерчицио С.п.А./пр.Фрезениус Каби Австрия ГмбХ; ['Л. Молтени и К. дей Фрателли Алитти Сочиета ди Езерчицио С.п.А.', 'Фрезениус Каби Австрия ГмбХ']
Мерц Фарма ГмбХ/пр.Б.Браун Мельзунген АГ; ['Мерц Фарма ГмбХ', 'Б.Браун Мельзунген АГ']
Квайссер Фарма ООО/пр.Фарма Вернигероде ГмбХ; ['Квайссер Фарма', 'Фарма Вернигероде ГмбХ']
Сотекс ФармФирма ЗАО; Сотекс ФармФирма
ЮжФарм ООО; ЮжФарм
Санофи Россия АО/пр.Санофи Илач Санайи ве Тиджарет А.Ш.; ['Санофи Россия', 'Санофи Илач Санайи ве Тиджарет А.Ш.']
Санофи Россия АО/пр.Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш.; ['Санофи Россия', 'Зентива Саалык Юрюнлери Санайи ве Тиджарет А.Ш.']
Эбботт Лэбораториз ГмбХ; Эбботт Лэбораториз ГмбХ
Пфайзер Инк/пр.Пфайзер Фармасьютикалз ЭлЭлСи; ['Пфайзер Инк', 'Пфайзер Фармасьютикалз ЭлЭлСи']
Дансон Трейдинг Фармасьютикал Компани Лимитед; Дансон Трейдинг Фармасьютикал Компани Лимитед
Микро Лабс Лимитед; Микро Лабс Лимитед
Пфайзер Инк/пр.Пфайзер Италия С.р.Л.вып.кон.Р-ФармГермания ГмбХ; ['Пфайзер Инк', 'Пфайзер Италия С.р.Л.вып.кон.Р-ФармГермания ГмбХ']
Берлин-Хеми/Менарини Фарма ГмбХ/пр.А.Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.Л.; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'А.Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.Л.']
Берлин-Хеми/Менарини Фарма ГмбХ/пр.А.Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.Л./пр.Лабораториос Менарини С.А.; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'А.Менарини Мэнюфекчеринг Лоджистикс энд Сервисиз С.р.Л.', 'Лабораториос Менарини С.А.']
Медисорб АО; Медисорб
Эбботт ГмбХ и Ко.КГ/пр.Фамар A.B.E.; ['Эбботт ГмбХ и Ко.КГ', 'Фамар A.B.E.']
Валеант ООО/пр.Г.Л.Фарма ГмбХ; ['Валеант', 'Г.Л.Фарма ГмбХ']
Фамар С.А.; Фамар С А
ГлаксоСмитКляйн Дангарван Лтд; ГлаксоСмитКляйн Дангарван Лтд
Эгис ФЗ ЗАО/пр.Арена Фармасьютикалс ГмбХ; ['Эгис ФЗ', 'Арена Фармасьютикалс ГмбХ']
Ксантис Фарма Лимитед/Лабораториос Ликонса С.А./уп.Радуга Продакшн ЗАО; ['Ксантис Фарма Лимитед', 'Лабораториос Ликонса С.А.', '.Радуга Продакшн']
Тева Фармасьютикал Воркс Прайвэт Лимитед Компани; Тева Фармасьютикал Воркс Прайвэт Лимитед Компани
Татхимфармпрепараты АО; Татхимфармпрепараты
Контракт Фармакол Корпорейшн; Контракт Фармакол Корпорейшн
Вертекс ЗАО; Вертекс
Валеант ООО/пр.Натур Продукт Фарма Сп. з о.о.; ['Валеант', 'Натур Продукт Фарма Сп. з о.о.']
АстраЗенека ЮК Лтд/пр.АйПиЭр Фармасьютикалс Инк/уп.АстраЗенека Индастриз ООО; ['АстраЗенека ЮК Лтд', 'АйПиЭр Фармасьютикалс Инк', '.АстраЗенека Индастриз']
Эгис ФЗ ЗАО/пр.Сервье Лаборатории; ['Эгис ФЗ', 'Сервье Лаборатории']
Эбботт Хелскеа Продактс Б.В./пр.Майлан Лэбораториз САС; ['Эбботт Хелскеа Продактс Б.В.', 'Майлан Лэбораториз САС']
ЮжФарм ООО (Россия); ЮжФарм  Россия
Отисифарм АО/пр.Фармстандарт-Лексредства ОАО (Россия); ['Отисифарм', 'Фармстандарт-Лексредства  (Россия)']
Менарини-Фон Хейден ГмбХ; Менарини Фон Хейден ГмбХ
Хисунит; Хисунит
Дэ Хан Нью Фарм Ко.Лтд/уп.Валента Фарм ПАО; ['Дэ Хан Нью Фарм Ко.Лтд', '.Валента Фарм']
Актавис Групп АО/Балканфарма - Дупница АД; ['Актавис Грп', 'Балканфарма - Дница АД']
