КРКА-Рус ООО; КРКА Рус
Даичи Санкио Юроуп ГмбХ/Берлин-Хеми АГ; ['Даичи Санкио Юро ГмбХ', 'Берлин-Хеми АГ']
Мерк ООО/пр.Эгис ФЗ ЗАО; ['Мерк', 'Эгис ФЗ']
Партнер АО; Партнер
Алиум АО; Алиум
Сандоз д.д./пр.Лек д.д.; ['Сандоз д.д.', 'Лек д.д.']
Алкалоид АО; Алкалоид
Нордикс Фарма Фертриб ГмбХ/пр.Нордмарк Арцнаймиттель ГмбХ и Ко.; ['Нордикс Фарма Фертриб ГмбХ', 'Нордмарк Арцнаймиттель ГмбХ и Ко.']
Марбиофарм ОАО; Марбиофарм
Тева Фармацевтические Предприятия Лтд/пр.Тева Фарма С.Л.У.; ['Тева Фармацевтические Предприятия Лтд', 'Тева Фарма С.Л.У.']
Фармпроект АО; Фармпроект
Зентива а.с. Чехия/пр.Санека Фармасьютикалс а.с.; ['Зентива а.с. Чехия', 'Санека Фармасьютикалс а.с.']
Ратиофарм ГмбХ/пр.Меркле ГмбХ; ['Ратиофарм ГмбХ', 'Меркле ГмбХ']
Биохимик ПАО; Биохимик
Акрихин ХФК АО; Акрихин ХФК
Экополис ЗАО; Экополис
Лаборатории Сервье Индастри; Лаборатории Сервье Индастри
Ксантис Фарма Лимитед/Лабораториос Ликонса С.А.; ['Ксантис Фарма Лимитед', 'Лабораториос Ликонса С.А.']
Полисорб ЗАО г.Челябинск; Полисорб  г Челябинск
Тверская ФФ ОАО; Тверская ФФ
Эвалар ЗАО; Эвалар
Алтайвитамины ЗАО (г.Бийск); Алтайвитамины  г Бийск
Авексима ОАО/пр.Авексима Сибирь ООО; ['Авексима', 'Авексима Сибирь']
Уралбиофарм ОАО; Уралбиофарм
Здоровье ФК ООО; Здоровье ФК
Гедеон Рихтер ОАО/пр.Ниш Генерикс Лтд/уп.Гедеон Рихтер-РУС; ['Гедеон Рихтер', 'Ниш Генерикс Лтд', '.Гедеон Рихтер-РУС']
