group;name_item;href_name;price;street;region;seller
['1-komnatnye'];1-к. квартира, 43,3 м², 2/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_433m_29et._2692107048;4900000.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 38,5 м², 14/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1416et._3027002192;3927000.0;ул. Минусинская, уч. 8г, стр. 1;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 39,1 м², 3/3 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_391m_33et._2383310725;3800000.0;ул. Бехтерева, 8Б;р-н Кировский;None
['1-komnatnye'];1-к. квартира, 43,3 м², 8/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_433m_89et._2692212657;5166100.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 34,8 м², 8/19 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_348m_819et._2445137321;3950000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;Бруклин Жилой Квартал
['1-komnatnye'];1-к. квартира, 43,3 м², 2/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_433m_29et._2692534807;4763000.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 42 м², 10/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_42m_1017et._2974828770;6500000.0;ул. Савушкина, д. 6е,;р-н Ленинский;None
['1-komnatnye'];1-к. квартира, 46,1 м², 12/13 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_461m_1213et._2061851031;5120000.0;ул. Боевая, д. 30;р-н Советский;"СЗ  ООО УСК ""Стройкомплекс"""
['1-komnatnye'];1-к. квартира, 36 м², 3/4 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_36m_34et._2665322625;3423600.0;ул. 1-я Воскресенская, д. 2;р-н Советский;АЛЕГРАНТ-ГРУПП
['1-komnatnye'];1-к. квартира, 41,4 м², 16/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_414m_1621et._2957433782;4550000.0;ул. Трофимова, стр. 3;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 40,1 м², 4/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_401m_421et._2811650193;5250000.0;ул. Бехтерева, д. 2б;р-н Кировский;None
['1-komnatnye'];1-к. квартира, 40,2 м², 16/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_402m_1625et._2437403476;5050000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 37,5 м², 14/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_375m_1416et._3091254260;4200000.0;ул. Минусинская, уч. 8г, стр. 2;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 46,6 м², 4/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_466m_417et._2996342679;4700000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;None
['1-komnatnye'];1-к. квартира, 38,5 м², 16/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1616et._3026896244;3965500.0;ул. Минусинская, уч. 8г, стр. 1;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 37,2 м², 3/18 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_372m_318et._2391681581;4521000.0;ул. Васильковая, д. 7;р-н Советский;RES застройщик г. Астрахань
['1-komnatnye'];1-к. квартира, 45 м², 6/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_45m_617et._2996709472;4200000.0;ул. Трофимова, д. 6;р-н Советский;None
['1-komnatnye'];1-к. квартира, 53,1 м², 8/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_531m_821et._2160296142;6145000.0;ул. Трофимова, д. 7А;р-н Советский;Московские кварталы, квартиры в центре Астрахани
['1-komnatnye'];1-к. квартира, 44,9 м², 6/24 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_449m_624et._2822333997;5070310.0;ул. Савушкина, стр. 1;р-н Ленинский;СЗ Тайгер
['1-komnatnye'];1-к. квартира, 44,5 м², 8/12 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_445m_812et._3022972453;2800000.0;пер. 1-й Таманский, д. 27;р-н Советский;None
['1-komnatnye'];1-к. квартира, 46 м², 8/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_46m_817et._2445387359;4800000.0;ул. Брестская/Автомобильная/пер. 1-й Таманский, д. 2;р-н Советский;Бруклин Жилой Квартал
['1-komnatnye'];1-к. квартира, 36,1 м², 1/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_361m_110et._2583029032;2869950.0;ул. Адмирала Макарова, жилой дом;р-н Советский;RES застройщик г. Астрахань
['1-komnatnye'];1-к. квартира, 46,5 м², 10/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_1015et._2508911409;5450000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 41,1 м², 9/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_411m_917et._2509117933;5000000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 37,2 м², 4/18 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_372m_418et._2967062771;5134000.0;ул. Васильковая, д. 7;р-н Советский;RES застройщик г. Астрахань
['1-komnatnye'];1-к. квартира, 43,5 м², 8/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_435m_810et._2686121727;3830000.0;ул. Космонавта Комарова, д. 59Б;р-н Ленинский;None
['1-komnatnye'];1-к. квартира, 52,6 м², 18/21 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_526m_1821et._2191986308;6600000.0;ул. Трофимова, д. 7А, корп. 1;р-н Советский;Московские кварталы, квартиры в центре Астрахани
